estado,viviendas_totales,viviendas_habitadas,agua,drenaje,electricidad,servicios_basicos,anio,agua_pct,drenaje_pct,electricidad_pct,servicios_basicos_pct
Aguascalientes,200673,199398,192836,189326,195284,184904,2000,96.09464153124735,94.34552730063336,97.31453658439352,92.14194236394533
Baja California,610057,559402,499982,458047,543561,431597,2000,81.95660405503092,75.0826562108131,89.10003491477025,70.74699577252618
Baja California Sur,105229,104341,90867,84069,98709,77982,2000,86.35167111727756,79.89147478356726,93.80398939455853,74.10694770453013
Campeche,157172,156125,125049,99589,142420,88495,2000,79.56188125111343,63.36306721298959,90.6141042933856,56.304558063777264
Coahuila de Zaragoza,544660,539169,503916,450061,529126,435097,2000,92.5193698821283,82.63154995777182,97.14794550728895,79.88414790878713
Colima,132330,124714,117205,116285,121535,110557,2000,88.57024106400665,87.87500944608176,91.84236378750094,83.54643693795813
Chiapas,806551,778845,529709,485016,684605,374974,2000,65.67582211168296,60.134573015221605,84.88055931986942,46.49104644343631
Chihuahua,755959,733379,674419,624507,688854,604395,2000,89.2137007430297,82.61122627020777,91.12319583469474,79.95076452558935
Distrito Federal,2132413,2103752,2038157,2065217,2093805,2014030,2000,95.57984311669456,96.8488280647323,98.18946892557867,94.44840188087392
Durango,325309,322288,289975,236937,301616,227737,2000,89.1383269445358,72.83444355981543,92.71677082404729,70.00636318085267
Guanajuato,926284,918822,811316,700922,884000,662417,2000,87.58825586969007,75.67031277664302,95.43509334070328,71.51338034555278
Guerrero,657989,651149,389829,348773,581700,271902,2000,59.245519301994406,53.00590131445967,88.4057332265433,41.323183214309054
Hidalgo,494317,491482,390981,322979,451710,293078,2000,79.09519599770996,65.33843667120492,91.3806322663392,59.289484278307235
Jalisco,1394026,1378666,1230092,1264829,1344186,1169310,2000,88.24024802980719,90.73209538416069,96.42474387134816,83.8800711034084
MÃ©xico,2893357,2743144,2465287,2367634,2685595,2243144,2000,85.20507493544696,81.82999885600015,92.81934445006269,77.52738428061245
MichoacÃ¡n de Ocampo,855512,846333,699112,631973,806949,564416,2000,81.71854982747173,73.8707347179233,94.3235162101759,65.97405997811838
Morelos,367399,354035,304754,300878,346815,272494,2000,82.94905538665049,81.89407156796834,94.39737179469732,74.16841091020933
